Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Aalivirus apekidu,2169685,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Aalivirus,3,0.00130568,0.00133567
Aarhusvirus katbat,2732763,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,4,0.00174091,0.0017809
Aarhusvirus luksen,2732764,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,6,0.00261136,0.00267134
Aarhusvirus mysterion,2732765,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Aarhusvirus,1,0.000435227,0.000445224
Abaiavirus POA1180,3059692,Viruses;Uroviricota;Caudoviricetes;;;Abaiavirus,78,0.0339477,0.0347275
Abalone shriveling syndrome-associated virus,491893,Viruses;Uroviricota;Caudoviricetes;;;,35,0.015233,0.0155828
Abbeymikolonvirus abbeymikolon,2734213,Viruses;Uroviricota;Caudoviricetes;;;Abbeymikolonvirus,47,0.0204557,0.0209255
Abelson murine leukemia virus,11788,Viruses;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Gammaretrovirus,3,0.00130568,0.00133567
Abidjanvirus Ab18,3425956,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,19,0.00826932,0.00845926
Abidjanvirus Ab19,3425957,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,16,0.00696364,0.00712359
Abidjanvirus PaMx11,3425958,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,93,0.0404761,0.0414058
Abidjanvirus ZC01,2955228,Viruses;Uroviricota;Caudoviricetes;;Mesyanzhinovviridae;Abidjanvirus,15,0.00652841,0.00667836
Abisko virus,2025595,Viruses;;;;;,1,0.000435227,0.000445224
Abouovirus abouo,1984774,Viruses;Uroviricota;Caudoviricetes;;;Abouovirus,4,0.00174091,0.0017809
Acadevirus PM116,2733576,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,1,0.000435227,0.000445224
Acadevirus PM85,2733574,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,2,0.000870455,0.000890448
Acadevirus PM93,2733575,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,1,0.000435227,0.000445224
Acadevirus Pm5460,2733577,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autosignataviridae;Acadevirus,2,0.000870455,0.000890448
Acadianvirus acadian,1982901,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,60,0.0261136,0.0267134
Acadianvirus baee,1982902,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,118,0.0513568,0.0525364
Acadianvirus reprobate,1982903,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,144,0.0626727,0.0641123
Acadianvirus serendipitous,2955229,Viruses;Uroviricota;Caudoviricetes;;;Acadianvirus,163,0.070942,0.0725715
Acajnonavirus acj9,2843630,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Acajnonavirus,59,0.0256784,0.0262682
Acamarivirus solis,3425973,Viruses;Cressdnaviricota;Arfiviricetes;Saturnivirales;Mahapunaviridae;Acamarivirus,1,0.000435227,0.000445224
Acanthamoeba castellanii medusavirus,2080449,Viruses;;;;;,2037,0.886558,0.906921
Acanvirus Rheph16,3059694,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,2,0.000870455,0.000890448
Acanvirus Rheph22,3059695,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,1,0.000435227,0.000445224
Acanvirus Y26,3059696,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,1,0.000435227,0.000445224
Acanvirus Y38,3059697,Viruses;Uroviricota;Caudoviricetes;;Schitoviridae;Acanvirus,2,0.000870455,0.000890448
Aceathervirus RM10,3425976,Viruses;Uroviricota;Caudoviricetes;;;Aceathervirus,8,0.00348182,0.00356179
Achromobacter phage JWF,1589748,Viruses;Uroviricota;Caudoviricetes;;;,458,0.199334,0.203913
Achromobacter phage phiAxp-1,1610509,Viruses;Uroviricota;Caudoviricetes;;;,25,0.0108807,0.0111306
Acidianus tailed spindle virus,1797140,Viruses;;;;Bicaudaviridae;,19,0.00826932,0.00845926
Acinetobacter phage Ac42,762660,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;,111,0.0483102,0.0494199
Acinetobacter phage YMC13/03/R2096,1560342,Viruses;Uroviricota;Caudoviricetes;;;,24,0.0104455,0.0106854
Acinetobacter phage phiAC-1,1229760,Viruses;Uroviricota;Caudoviricetes;;;,6,0.00261136,0.00267134
Acinetobacter phage vB_AbaM_Acibel004,1481186,Viruses;Uroviricota;Caudoviricetes;;;Saclayvirus,37,0.0161034,0.0164733
Acinetobacter phage vB_AbaM_phiAbaA1,1605379,Viruses;Uroviricota;Caudoviricetes;;;Saclayvirus,14,0.00609318,0.00623314
Acinetobacter phage vB_AbaS_TRS1,1852629,Viruses;Uroviricota;Caudoviricetes;;;,9,0.00391705,0.00400702
Acionnavirus monteraybay,2734078,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Kyanoviridae;Acionnavirus,24,0.0104455,0.0106854
Acridvirus hangzhouense,3059698,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Lispiviridae;Acridvirus,1,0.000435227,0.000445224
Actinidia cytorhabdovirus JS27,2839003,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;,1,0.000435227,0.000445224
Actinovirus bernense,3051403,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Actinovirus,5,0.00217614,0.00222612
Actinovirus halieutaeae,3051404,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Actinovirus,2,0.000870455,0.000890448
Actinovirus triacanthodis,3051406,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Actinovirus,1,0.000435227,0.000445224
Acyrthosiphon pisum virus,340187,Viruses;;;;;,3,0.00130568,0.00133567
Adaiavirus adaia,3059699,Viruses;Uroviricota;Caudoviricetes;;;Adaiavirus,7,0.00304659,0.00311657
Adoxophyes orana nucleopolyhedrovirus,542343,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,25,0.0108807,0.0111306
Adrianbuildvirus ARI0923,3425981,Viruses;Uroviricota;Caudoviricetes;;;Adrianbuildvirus,1,0.000435227,0.000445224
Adrianbuildvirus SpSL1,3425988,Viruses;Uroviricota;Caudoviricetes;;;Adrianbuildvirus,4,0.00174091,0.0017809
Aedes camptorhynchus negev-like virus,2010268,Viruses;;;;;,2,0.000870455,0.000890448
Aedes camptorhynchus reo-like virus,2010269,Viruses;;;;;,3,0.00130568,0.00133567
Aedes flavivirus,390845,Viruses;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Orthoflavivirus,5,0.00217614,0.00222612
Aegirvirus SCBP42,2733888,Viruses;Uroviricota;Caudoviricetes;Autographivirales;;Aegirvirus,9,0.00391705,0.00400702
Aeropyrum globular virus 1,1932713,Viruses;;;;;,3,0.00130568,0.00133567
Aeropyrum pernix spindle-shaped virus 1,1032473,Viruses;;;;;,27,0.0117511,0.0120211
Aerosvirus AS7,2733365,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Aerosvirus,15,0.00652841,0.00667836
Aerosvirus ZPAH7,2733366,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Aerosvirus,3,0.00130568,0.00133567
Aerosvirus av25AhydR2PP,2733364,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Aerosvirus,8,0.00348182,0.00356179
Affertcholeramvirus CTXphi,141904,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Affertcholeramvirus,1,0.000435227,0.000445224
Affertcholeramvirus preCTX1,2955230,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Affertcholeramvirus,2,0.000870455,0.000890448
Afonbuvirus coli,2955232,Viruses;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Afonbuvirus,18,0.00783409,0.00801403
Afonbuvirus faecalis,2955233,Viruses;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Afonbuvirus,7,0.00304659,0.00311657
Afonbuvirus intestinihominis,2955234,Viruses;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae;Afonbuvirus,8,0.00348182,0.00356179
Agatevirus Bp8pC,1910937,Viruses;Uroviricota;Caudoviricetes;;Herelleviridae;Agatevirus,19,0.00826932,0.00845926
Agatevirus agate,1910935,Viruses;Uroviricota;Caudoviricetes;;Herelleviridae;Agatevirus,193,0.0839989,0.0859282
Agatevirus bobb,1910936,Viruses;Uroviricota;Caudoviricetes;;Herelleviridae;Agatevirus,26,0.0113159,0.0115758
Agave tequilana leaf virus,387423,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Vitivirus,4,0.00174091,0.0017809
Ageyesisatellite gossypiarabiaense,3425991,Viruses;;;;Alphasatellitidae;Ageyesisatellite,3,0.00130568,0.00133567
Aggregatibacter phage S1249,683735,Viruses;Uroviricota;Caudoviricetes;;;,5,0.00217614,0.00222612
Aghbyvirus ISAO8,2733367,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Aghbyvirus,38,0.0165386,0.0169185
Aglavirus caranthi,3425992,Viruses;Cressdnaviricota;Arfiviricetes;Rohanvirales;Kirkoviridae;Aglavirus,1,0.000435227,0.000445224
Agmunavirus AGM1,2843882,Viruses;Uroviricota;Caudoviricetes;;;Agmunavirus,47,0.0204557,0.0209255
Agnathovirus eptatreti,3051410,Viruses;Negarnaviricota;Bunyaviricetes;Elliovirales;Hantaviridae;Agnathovirus,1,0.000435227,0.000445224
Agricanvirus Ea3570,1984778,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,17,0.00739886,0.00756881
Agricanvirus deimos,1984777,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,7,0.00304659,0.00311657
Agricanvirus desertfox,2560433,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,19,0.00826932,0.00845926
Agricanvirus ray,1984779,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,2,0.000870455,0.000890448
Agricanvirus simmy50,1984780,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,6,0.00261136,0.00267134
Agricanvirus specialG,1984781,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Agricanvirus,7,0.00304659,0.00311657
Agtrevirus AG3,1987994,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Ackermannviridae;Agtrevirus,6,0.00261136,0.00267134
Agtrevirus EM4,2844121,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Ackermannviridae;Agtrevirus,36,0.0156682,0.0160281
Agtrevirus MK13,2846200,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Ackermannviridae;Agtrevirus,5,0.00217614,0.00222612
Agtrevirus P46FS4,2846096,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Ackermannviridae;Agtrevirus,3,0.00130568,0.00133567
Agtrevirus SKML39,2169690,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Ackermannviridae;Agtrevirus,19,0.00826932,0.00845926
Ahduovirus AH2,3425998,Viruses;Uroviricota;Caudoviricetes;;Casjensviridae;Ahduovirus,87,0.0378648,0.0387345
Ahphunavirus Ahp1,2733368,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Ahphunavirus,17,0.00739886,0.00756881
Ahphunavirus CF7,2733369,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autonotataviridae;Ahphunavirus,26,0.0113159,0.0115758
Ahtivirus sagseatwo,2734079,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Kyanoviridae;Ahtivirus,71,0.0309011,0.0316109
Ailurivirus agiapa,2560287,Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ailurivirus,6,0.00261136,0.00267134
Akihdevirus balticus,2955235,Viruses;Uroviricota;Caudoviricetes;Crassvirales;Steigviridae;Akihdevirus,14,0.00609318,0.00623314
Akiravirus akira,2955236,Viruses;Uroviricota;Caudoviricetes;;;Akiravirus,4,0.00174091,0.0017809
Akonivirus akoni,2845587,Viruses;Uroviricota;Caudoviricetes;;;Akonivirus,46,0.0200205,0.0204803
Akonivirus phedro,2845594,Viruses;Uroviricota;Caudoviricetes;;;Akonivirus,51,0.0221966,0.0227064
Alachuavirus Xp15,2846673,Viruses;Uroviricota;Caudoviricetes;;;Alachuavirus,22,0.009575,0.00979493
Alasvirus muscae,2501934,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Xinmoviridae;Alasvirus,1,0.000435227,0.000445224
Alces alces faeces associated microvirus MP11 5517,2219134,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;,1,0.000435227,0.000445224
Alces alces faeces associated microvirus MP3 6497,2219139,Viruses;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae;,2,0.000870455,0.000890448
Alcyoneusvirus K641,2560541,Viruses;Uroviricota;Caudoviricetes;;;Alcyoneusvirus,22,0.009575,0.00979493
Alcyoneusvirus RaK2,2560545,Viruses;Uroviricota;Caudoviricetes;;;Alcyoneusvirus,26,0.0113159,0.0115758
Aldormivirus peladaptatum,3426015,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Atkinsviridae;Aldormivirus,1,0.000435227,0.000445224
Alegriavirus av2B8,2844171,Viruses;Uroviricota;Caudoviricetes;;;Alegriavirus,2,0.000870455,0.000890448
Alehxovirus agradaptatum,2843659,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,2,0.000870455,0.000890448
Alehxovirus agricola,2843661,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,1,0.000435227,0.000445224
Alehxovirus agrihabitans,2843662,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,2,0.000870455,0.000890448
Alehxovirus asiohabitans,2843663,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,3,0.00130568,0.00133567
Alehxovirus asiovicinum,2843664,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,1,0.000435227,0.000445224
Alehxovirus asiovivens,2843665,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,1,0.000435227,0.000445224
Alehxovirus humivicinum,2843667,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,2,0.000870455,0.000890448
Alehxovirus humivivens,2843668,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,2,0.000870455,0.000890448
Alehxovirus pedohabitans,3426056,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Alehxovirus,1,0.000435227,0.000445224
Aleptorquevirus culic1,3051411,Viruses;Commensaviricota;Cardeaviricetes;Sanitavirales;Anelloviridae;Aleptorquevirus,1,0.000435227,0.000445224
Alethinophid 2 reptarenavirus,1653398,Viruses;Negarnaviricota;Bunyaviricetes;Hareavirales;Arenaviridae;Reptarenavirus,7,0.00304659,0.00311657
Alexandravirus AD1,2734080,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,50,0.0217614,0.0222612
Alexandravirus SNUABM1,3059700,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,50,0.0217614,0.0222612
Alexandravirus SNUABM16,3059701,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,112,0.0487455,0.0498651
Alexandravirus SNUABM17,3059702,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,21,0.00913977,0.00934971
Alexandravirus SNUABM2,3059703,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,32,0.0139273,0.0142472
Alexandravirus SNUABM22,3059704,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,45,0.0195852,0.0200351
Alexandravirus SNUABM3,3059705,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,46,0.0200205,0.0204803
Alexandravirus SNUABM30,3059706,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,53,0.023067,0.0235969
Alexandravirus SNUABM32,3059707,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,35,0.015233,0.0155828
Alexandravirus SNUABM33,3059708,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,38,0.0165386,0.0169185
Alexandravirus SNUABM35,3059709,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,93,0.0404761,0.0414058
Alexandravirus alexandra,2734081,Viruses;Uroviricota;Caudoviricetes;;;Alexandravirus,36,0.0156682,0.0160281
Aleyavirus fuyangense,3059710,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Lispiviridae;Aleyavirus,2,0.000870455,0.000890448
Alfamovirus AMV,12321,Viruses;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae;Alfamovirus,1,0.000435227,0.000445224
Alisovirus socal22,2955237,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Kyanoviridae;Alisovirus,405,0.176267,0.180316
Alkesdovirus pelohabitans,3426078,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Atkinsviridae;Alkesdovirus,1,0.000435227,0.000445224
Alkesdovirus tellurivicinum,3426080,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Atkinsviridae;Alkesdovirus,8,0.00348182,0.00356179
Alkesdovirus terradaptatum,3426082,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Atkinsviridae;Alkesdovirus,1,0.000435227,0.000445224
Allexivirus ecsallii,3433712,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,1,0.000435227,0.000445224
Allexivirus ecsascalonicum,3433713,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,5,0.00217614,0.00222612
Allexivirus epsilonrubi,3433725,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,4,0.00174091,0.0017809
Allexivirus latensvanillae,3433727,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,1,0.000435227,0.000445224
Allexivirus pintoi,3433728,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,13,0.00565795,0.00578791
Allexivirus sigmamedicagonis,1985968,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Allexivirus,2,0.000870455,0.000890448
Almendravirus almendras,1972686,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,2,0.000870455,0.000890448
Almendravirus arboretum,1972683,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,2,0.000870455,0.000890448
Almendravirus balsa,1972684,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,1,0.000435227,0.000445224
Almendravirus chico,1972687,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,1,0.000435227,0.000445224
Almendravirus cootbay,1972685,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,4,0.00174091,0.0017809
Almendravirus menghai,2734366,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,1,0.000435227,0.000445224
Almendravirus xiangshan,3059712,Viruses;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae;Almendravirus,4,0.00174091,0.0017809
Alphaarterivirus equid,2499620,Viruses;Pisuviricota;Pisoniviricetes;Nidovirales;Arteriviridae;Alphaarterivirus,2,0.000870455,0.000890448
Alphabaculovirus adhonmai,3047348,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,36,0.0156682,0.0160281
Alphabaculovirus agipsilonis,3047352,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,114,0.0496159,0.0507555
Alphabaculovirus agsegetum,3047354,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,30,0.0130568,0.0133567
Alphabaculovirus alteragsegetum,3047355,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,40,0.0174091,0.017809
Alphabaculovirus alterchofumiferanae,3047749,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,34,0.0147977,0.0151376
Alphabaculovirus angemmatalis,3047368,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,3,0.00130568,0.00133567
Alphabaculovirus anpernyi,3047366,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,75,0.032642,0.0333918
Alphabaculovirus aucalifornicae,3047383,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,20,0.00870455,0.00890448
Alphabaculovirus bomori,3047695,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,26,0.0113159,0.0115758
Alphabaculovirus busuppressariae,3047704,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,25,0.0108807,0.0111306
Alphabaculovirus capomonae,3047737,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,70,0.0304659,0.0311657
Alphabaculovirus chofumiferanae,3047750,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,56,0.0243727,0.0249325
Alphabaculovirus chomurinanae,3047751,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,38,0.0165386,0.0169185
Alphabaculovirus chorosaceanae,3047752,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,52,0.0226318,0.0231517
Alphabaculovirus chrincludentis,3050266,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,156,0.0678955,0.069455
Alphabaculovirus chrychalcites,3047753,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,79,0.034383,0.0351727
Alphabaculovirus clabilineatae,3047759,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,105,0.0456989,0.0467485
Alphabaculovirus covestigialis,3051416,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,40,0.0174091,0.017809
Alphabaculovirus crypeltasticae,3078440,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,215,0.0935739,0.0957232
Alphabaculovirus cycundantis,3047786,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,80,0.0348182,0.0356179
Alphabaculovirus dijunonis,2955239,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,134,0.0583205,0.05966
Alphabaculovirus ecobliquae,3047815,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,32,0.0139273,0.0142472
Alphabaculovirus eppostvittanae,3047825,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,45,0.0195852,0.0200351
Alphabaculovirus erankerariae,3059713,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,19,0.00826932,0.00845926
Alphabaculovirus eupseudoconspersae,3047831,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,41,0.0178443,0.0182542
Alphabaculovirus helarmigerae,3047947,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,65,0.0282898,0.0289396
Alphabaculovirus heleucae,3051417,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,45,0.0195852,0.0200351
Alphabaculovirus hycuneae,3048149,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,36,0.0156682,0.0160281
Alphabaculovirus hytalacae,3048150,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,41,0.0178443,0.0182542
Alphabaculovirus lafiscellariae,3048172,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,71,0.0309011,0.0316109
Alphabaculovirus leseparatae,3048181,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,179,0.0779057,0.0796951
Alphabaculovirus lonobliquae,3051418,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,40,0.0174091,0.017809
Alphabaculovirus lydisparis,3048188,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,232,0.100973,0.103292
Alphabaculovirus lyxylinae,3051419,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,93,0.0404761,0.0414058
Alphabaculovirus mabrassicae,3048194,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,9,0.00391705,0.00400702
Alphabaculovirus maconfiguratae,3048195,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,18,0.00783409,0.00801403
Alphabaculovirus mavitratae,3048197,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,15,0.00652841,0.00667836
Alphabaculovirus olmendosae,3059714,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,122,0.0530977,0.0543173
Alphabaculovirus opbrumatae,3048235,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,90,0.0391705,0.0400702
Alphabaculovirus orleucostigmae,3048237,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,97,0.042217,0.0431867
Alphabaculovirus orpseudotsugatae,3048238,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,175,0.0761648,0.0779142
Alphabaculovirus oxochraceae,3078441,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,40,0.0174091,0.017809
Alphabaculovirus peluscae,3051421,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,22,0.009575,0.00979493
Alphabaculovirus ranus,2955240,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,35,0.015233,0.0155828
Alphabaculovirus raous,3059715,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,39,0.0169739,0.0173637
Alphabaculovirus sp. 'altermaconfiguratae',3048196,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,6,0.00261136,0.00267134
Alphabaculovirus speridaniae,3078442,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,121,0.0526625,0.0538721
Alphabaculovirus spexemptae,3048330,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,77,0.0335125,0.0342823
Alphabaculovirus splittoralis,3048336,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,34,0.0147977,0.0151376
Alphabaculovirus spliturae,3048338,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,79,0.034383,0.0351727
Alphabaculovirus spofrugiperdae,3048335,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,34,0.0147977,0.0151376
Alphabaculovirus sujujubae,3048345,Viruses;;Naldaviricetes;Lefavirales;Baculoviridae;Alphabaculovirus,28,0.0121864,0.0124663
