Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Protoparvovirus primate3,3052716,Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus,1,0.000435227,0.000445224
Protoparvovirus rodent1,3052717,Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus,1,0.000435227,0.000445224
Protoparvovirus rodent2,3052718,Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus,2,0.000870455,0.000890448
Protoparvovirus ungulate1,3052720,Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus,26,0.0113159,0.0115758
Protoparvovirus ungulate3,3060658,Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus,5,0.00217614,0.00222612
Prunevirus actinidiae,3241185,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Prunevirus,1,0.000435227,0.000445224
Prunevirus caucasicum,3241186,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Prunevirus,3,0.00130568,0.00133567
Prunevirus unicamelliae,3241187,Viruses;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Prunevirus,5,0.00217614,0.00222612
Przondovirus IME205,2733667,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus IME321,2733668,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus K30,1985722,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,3,0.00130568,0.00133567
Przondovirus K52,2733669,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,3,0.00130568,0.00133567
Przondovirus K54,2733670,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus KN31,2733672,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus KN41,2733673,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus KP32i192,2733674,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,2,0.000870455,0.000890448
Przondovirus KP32i194,2733675,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,2,0.000870455,0.000890448
Przondovirus KP32i195,2733676,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus KP32i196,2733677,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,3,0.00130568,0.00133567
Przondovirus KpV289,1985727,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,3,0.00130568,0.00133567
Przondovirus KpV763,2733679,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus KpV767,2733681,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,5,0.00217614,0.00222612
Przondovirus PRA33,2733683,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Przondovirus SHKp152410,2733685,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,2,0.000870455,0.000890448
Przondovirus henu1,2733665,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,7,0.00304659,0.00311657
Przondovirus kpssk3,2733678,Viruses;Uroviricota;Caudoviricetes;Autographivirales;Autotranscriptaviridae;Przondovirus,1,0.000435227,0.000445224
Psavirus LP302,1921435,Viruses;Uroviricota;Caudoviricetes;;;Psavirus,2,0.000870455,0.000890448
Psavirus PSA,1921436,Viruses;Uroviricota;Caudoviricetes;;;Psavirus,5,0.00217614,0.00222612
Psecadovirus PSH1,2011088,Viruses;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae;Psecadovirus,1,0.000435227,0.000445224
Pseudoalteromonas phage BS5,1874539,Viruses;Uroviricota;Caudoviricetes;;;,6,0.00261136,0.00267134
Pseudoalteromonas phage C7,2510494,Viruses;Uroviricota;Caudoviricetes;;;,54,0.0235023,0.0240421
Pseudoalteromonas phage H103,1636200,Viruses;Uroviricota;Caudoviricetes;;;,7,0.00304659,0.00311657
Pseudoalteromonas phage HS6,1357710,Viruses;Uroviricota;Caudoviricetes;;;,6,0.00261136,0.00267134
Pseudoalteromonas phage Maelstrom,2065202,Viruses;Uroviricota;Caudoviricetes;;;,9,0.00391705,0.00400702
Pseudoalteromonas phage PH1,1874540,Viruses;Uroviricota;Caudoviricetes;;;,3,0.00130568,0.00133567
Pseudoalteromonas phage Pq0,1667322,Viruses;Uroviricota;Caudoviricetes;;;,17,0.00739886,0.00756881
Pseudoalteromonas phage TW1,1366055,Viruses;Uroviricota;Caudoviricetes;;;,31,0.013492,0.0138019
Pseudoalteromonas phage vB_PspS-H40/1,1856120,Viruses;Uroviricota;Caudoviricetes;;;,10,0.00435227,0.00445224
Pseudomonas phage AF,1235689,Viruses;Uroviricota;Caudoviricetes;;;,40,0.0174091,0.017809
Pseudomonas phage DL54,1640969,Viruses;Uroviricota;Caudoviricetes;;;Bruynoghevirus,1,0.000435227,0.000445224
Pseudomonas phage F10,347324,Viruses;Uroviricota;Caudoviricetes;;;,27,0.0117511,0.0120211
Pseudomonas phage H70,1536596,Viruses;Uroviricota;Caudoviricetes;;;Casadabanvirus,2,0.000870455,0.000890448
Pseudomonas phage JBD44,1777052,Viruses;Uroviricota;Caudoviricetes;;;,7,0.00304659,0.00311657
Pseudomonas phage Lu11,1161927,Viruses;Uroviricota;Caudoviricetes;;;,162,0.0705068,0.0721263
Pseudomonas phage MD8,1868596,Viruses;Uroviricota;Caudoviricetes;;;,23,0.0100102,0.0102402
Pseudomonas phage O4,1784982,Viruses;Uroviricota;Caudoviricetes;;Zobellviridae;Paundecimvirus,7,0.00304659,0.00311657
Pseudomonas phage OBP,1124849,Viruses;Uroviricota;Caudoviricetes;;Chimalliviridae;Petsuvirus,58,0.0252432,0.025823
Pseudomonas phage PAJU2,504346,Viruses;Uroviricota;Caudoviricetes;;;Detrevirus,16,0.00696364,0.00712359
Pseudomonas phage PS-1,1573458,Viruses;Uroviricota;Caudoviricetes;;;,34,0.0147977,0.0151376
Pseudomonas phage PSV3,3003632,Viruses;Uroviricota;Caudoviricetes;;;Septimatrevirus,2,0.000870455,0.000890448
Pseudomonas phage PaMx42,1175662,Viruses;Uroviricota;Caudoviricetes;;;Septimatrevirus,2,0.000870455,0.000890448
Pseudomonas phage YMC11/07/P54_PAE_BP,1777064,Viruses;Uroviricota;Caudoviricetes;;;,91,0.0396057,0.0405154
Pseudomonas phage phi297,1129145,Viruses;Uroviricota;Caudoviricetes;;;,57,0.024808,0.0253778
Pseudomonas phage vB_PaeP_Tr60_Ab31,1449437,Viruses;Uroviricota;Caudoviricetes;;;,9,0.00391705,0.00400702
Pseudotevenvirus RB16,329381,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,10,0.00435227,0.00445224
Pseudotevenvirus RB43,115991,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,37,0.0161034,0.0164733
Pseudotevenvirus gap161,2844034,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,4,0.00174091,0.0017809
Pseudotevenvirus imecf2,2843952,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,3,0.00130568,0.00133567
Pseudotevenvirus leb,2844035,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,5,0.00217614,0.00222612
Pseudotevenvirus lee,2844036,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,3,0.00130568,0.00133567
Pseudotevenvirus lw1,2844211,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,16,0.00696364,0.00712359
Pseudotevenvirus margaery,2843955,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,2,0.000870455,0.000890448
Pseudotevenvirus miller,2843956,Viruses;Uroviricota;Caudoviricetes;Pantevenvirales;Straboviridae;Pseudotevenvirus,3,0.00130568,0.00133567
Psiaduvirus pedadaptatum,2845972,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Psiaduvirus,1,0.000435227,0.000445224
Psimevirus caenivicinum,2845973,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae;Psimevirus,1,0.000435227,0.000445224
Psimunavirus limi,3432026,Viruses;Uroviricota;Caudoviricetes;Methanobavirales;Leisingerviridae;Psimunavirus,5,0.00217614,0.00222612
Psipapillomavirus 1,1177762,Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;Psipapillomavirus,1,0.000435227,0.000445224
Psipapillomavirus 2,2170170,Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;Psipapillomavirus,2,0.000870455,0.000890448
Psoetuvirus pedenecus,2845978,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Atkinsviridae;Psoetuvirus,2,0.000870455,0.000890448
Psychrobacter phage Psymv2,1071177,Viruses;Uroviricota;Caudoviricetes;;;,14,0.00609318,0.00623314
Psychrobacter phage pOW20-A,754048,Viruses;Uroviricota;Caudoviricetes;;;,3,0.00130568,0.00133567
Pteridovirus filicis,2734351,Viruses;Kitrinoviricota;Alsuviricetes;Martellivirales;Mayoviridae;Pteridovirus,2,0.000870455,0.000890448
Pteridovirus maydis,2734352,Viruses;Kitrinoviricota;Alsuviricetes;Martellivirales;Mayoviridae;Pteridovirus,2,0.000870455,0.000890448
Pteropine orthoreovirus,1459003,Viruses;Duplornaviricota;Resentoviricetes;Reovirales;Spinareoviridae;Orthoreovirus,2,0.000870455,0.000890448
Pteropopoxvirus pteropox,3432027,Viruses;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Pteropopoxvirus,36,0.0156682,0.0160281
Puahadnavirus aber,3060659,Viruses;Cressdnaviricota;Arfiviricetes;Baphyvirales;Bacilladnaviridae;Puahadnavirus,5,0.00217614,0.00222612
Puduphavirus pedovivens,2845989,Viruses;Lenarviricota;Leviviricetes;Timlovirales;Steitzviridae;Puduphavirus,3,0.00130568,0.00133567
Puirovirus sp. 'lutenecus',2845992,Viruses;Lenarviricota;Leviviricetes;Norzivirales;Solspiviridae;Puirovirus,1,0.000435227,0.000445224
Pukovnikvirus bactobuster,2956340,Viruses;Uroviricota;Caudoviricetes;;;Pukovnikvirus,1,0.000435227,0.000445224
Pukovnikvirus ironman,2956341,Viruses;Uroviricota;Caudoviricetes;;;Pukovnikvirus,57,0.024808,0.0253778
Pukovnikvirus phaded,2956342,Viruses;Uroviricota;Caudoviricetes;;;Pukovnikvirus,25,0.0108807,0.0111306
Pukovnikvirus pukovnik,540068,Viruses;Uroviricota;Caudoviricetes;;;Pukovnikvirus,26,0.0113159,0.0115758
Pulverervirus PFR1,2170091,Viruses;Uroviricota;Caudoviricetes;;;Pulverervirus,192,0.0835636,0.085483
Pumpernickelvirus pumpernickel,3432031,Viruses;Uroviricota;Caudoviricetes;;;Pumpernickelvirus,118,0.0513568,0.0525364
Punavirus P1,10678,Viruses;Uroviricota;Caudoviricetes;;;Punavirus,62,0.0269841,0.0276039
Punavirus RCS47,2560452,Viruses;Uroviricota;Caudoviricetes;;;Punavirus,32,0.0139273,0.0142472
Punavirus SJ46,2560732,Viruses;Uroviricota;Caudoviricetes;;;Punavirus,75,0.032642,0.0333918
Puniceispirillum phage HMO-2011,948071,Viruses;Uroviricota;Caudoviricetes;;;,9,0.00391705,0.00400702
