contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM
contig_1145,7063,7.063,1701,11485.17,1626.1
contig_689,9921,9.921,2263,15279.8,1540.15
contig_1027,13142,13.142,2644,17852.32,1358.42
contig_1044,13263,13.263,1938,13085.4,986.61
contig_258,6022,6.022,749,5057.26,839.8
contig_1171,7286,7.286,887,5989.03,821.99
contig_1100,26049,26.049,2999,20249.28,777.35
contig_1211,6167,6.167,697,4706.15,763.12
contig_1147,12271,12.271,1231,8311.73,677.35
contig_1141,18134,18.134,1689,11404.15,628.88
contig_1148,21575,21.575,1907,12876.09,596.81
contig_1177,19428,19.428,1623,10958.52,564.06
contig_1187,71359,71.359,5211,35184.74,493.07
contig_1133,38154,38.154,2312,15610.65,409.15
contig_1166,26802,26.802,1592,10749.2,401.06
contig_1130,7541,7.541,434,2930.37,388.59
contig_1058,54109,54.109,3003,20276.29,374.73
contig_1089,11326,11.326,628,4240.26,374.38
contig_1126,18820,18.82,940,6346.89,337.24
contig_1079,12016,12.016,556,3754.12,312.43
contig_1163,21982,21.982,906,6117.32,278.29
contig_1091,162968,162.968,6695,45204.72,277.38
contig_1123,47303,47.303,1920,12963.86,274.06
contig_1184,91080,91.08,3577,24151.95,265.17
contig_1111,13014,13.014,510,3443.53,264.6
contig_1183,30458,30.458,1154,7791.82,255.82
contig_927,13447,13.447,504,3403.01,253.07
contig_1168,8637,8.637,320,2160.64,250.16
contig_1102,19278,19.278,707,4773.67,247.62
contig_1115,10494,10.494,382,2579.27,245.79
contig_1085,21683,21.683,735,4962.73,228.88
contig_1121,16429,16.429,544,3673.09,223.57
contig_1080,22243,22.243,723,4881.7,219.47
contig_1124,41804,41.804,1337,9027.44,215.95
contig_1212,27117,27.117,839,5664.94,208.91
contig_1104,122332,122.332,3656,24685.36,201.79
contig_1060,27417,27.417,794,5361.1,195.54
contig_1129,34511,34.511,993,6704.75,194.28
contig_1071,10358,10.358,294,1985.09,191.65
contig_1194,10521,10.521,297,2005.35,190.6
contig_1073,55790,55.79,1561,10539.89,188.92
contig_710,7613,7.613,205,1384.16,181.82
contig_1196,23642,23.642,603,4071.46,172.21
contig_1165,50236,50.236,1229,8298.22,165.18
contig_1098,20508,20.508,496,3349.0,163.3
contig_1084,39632,39.632,954,6441.42,162.53
contig_1151,53599,53.599,1215,8203.69,153.06
contig_1065,83876,83.876,1848,12477.72,148.76
contig_1152,31750,31.75,676,4564.36,143.76
contig_1138,37657,37.657,776,5239.56,139.14
contig_1094,6939,6.939,142,958.79,138.17
contig_1062,11919,11.919,239,1613.73,135.39
contig_1189,202410,202.41,3918,26454.38,130.7
contig_1134,31418,31.418,589,3976.94,126.58
contig_1087,28243,28.243,523,3531.3,125.03
contig_1208,261217,261.217,4819,32537.95,124.56
contig_731,3078,3.078,52,351.1,114.07
contig_1174,11550,11.55,180,1215.36,105.23
contig_1179,9691,9.691,150,1012.8,104.51
contig_334,4978,4.978,70,472.64,94.95
contig_1077,23712,23.712,328,2214.66,93.4
contig_1088,78866,78.866,1056,7130.12,90.41
contig_1063,157845,157.845,2079,14037.43,88.93
contig_796,8725,8.725,111,749.47,85.9
contig_1128,18798,18.798,235,1586.72,84.41
contig_681,3842,3.842,48,324.1,84.36
contig_1070,17371,17.371,217,1465.19,84.35
contig_629,15206,15.206,189,1276.13,83.92
contig_1169,10501,10.501,129,871.01,82.95
contig_1200,29327,29.327,356,2403.72,81.96
contig_1142,83833,83.833,998,6738.51,80.38
contig_1170,52020,52.02,619,4179.5,80.34
contig_1204,53682,53.682,638,4307.78,80.25
contig_131,5008,5.008,59,398.37,79.55
contig_1125,32620,32.62,384,2592.77,79.48
contig_1203,46238,46.238,539,3639.33,78.71
contig_1172,18155,18.155,210,1417.92,78.1
contig_1096,63744,63.744,724,4888.46,76.69
contig_1207,40334,40.334,426,2876.36,71.31
contig_332,10328,10.328,109,735.97,71.26
contig_595,7226,7.226,76,513.15,71.01
contig_136,5331,5.331,55,371.36,69.66
contig_1202,104248,104.248,1053,7109.87,68.2
contig_804,6159,6.159,61,411.87,66.87
contig_1097,47229,47.229,467,3153.19,66.76
contig_592,3867,3.867,37,249.82,64.6
contig_1032,7815,7.815,74,499.65,63.93
contig_855,7400,7.4,70,472.64,63.87
contig_1192,17488,17.488,158,1066.82,61.0
contig_1167,28523,28.523,252,1701.51,59.65
contig_1201,56459,56.459,497,3355.75,59.44
contig_1101,11094,11.094,96,648.19,58.43
contig_392,3547,3.547,30,202.56,57.11
contig_1153,13586,13.586,112,756.23,55.66
contig_1112,18447,18.447,147,992.55,53.81
contig_124,8331,8.331,65,438.88,52.68
contig_1068,141480,141.48,1097,7406.96,52.35
contig_1119,32559,32.559,250,1688.0,51.84
contig_484,6513,6.513,50,337.6,51.83
contig_508,32062,32.062,244,1647.49,51.38
contig_1117,59482,59.482,444,2997.89,50.4
contig_823,5831,5.831,43,290.34,49.79
contig_1075,13324,13.324,98,661.7,49.66
contig_267,46672,46.672,341,2302.44,49.33
contig_158,177424,177.424,1296,8750.61,49.32
contig_802,5817,5.817,42,283.58,48.75
contig_1109,68217,68.217,488,3294.98,48.3
contig_634,10199,10.199,72,486.14,47.67
contig_679,16193,16.193,114,769.73,47.53
contig_303,6976,6.976,49,330.85,47.43
contig_326,11678,11.678,82,553.66,47.41
contig_1090,12462,12.462,87,587.43,47.14
contig_395,5016,5.016,35,236.32,47.11
contig_764,5329,5.329,37,249.82,46.88
contig_85,65821,65.821,456,3078.92,46.78
contig_831,33522,33.522,228,1539.46,45.92
