contig_id,length_bp,length_kb,mapped_reads,RPM,RPKM
contig_383,86535,86.535,523,3531.3,40.81
contig_152,40168,40.168,241,1627.23,40.51
contig_1182,163312,163.312,979,6610.22,40.48
contig_539,5193,5.193,31,209.31,40.31
contig_1046,8563,8.563,51,344.35,40.21
contig_1149,17156,17.156,102,688.71,40.14
contig_302,8261,8.261,49,330.85,40.05
contig_656,6289,6.289,37,249.82,39.72
contig_1092,9521,9.521,56,378.11,39.71
contig_372,22459,22.459,131,884.51,39.38
contig_1056,39146,39.146,227,1532.71,39.15
contig_992,15367,15.367,89,600.93,39.11
contig_910,86310,86.31,499,3369.25,39.04
contig_1016,9216,9.216,53,357.86,38.83
contig_1083,83659,83.659,481,3247.72,38.82
contig_642,5591,5.591,32,216.06,38.65
contig_541,5815,5.815,33,222.82,38.32
contig_1156,74007,74.007,416,2808.84,37.95
contig_928,5526,5.526,31,209.31,37.88
contig_673,5373,5.373,30,202.56,37.7
contig_86,3416,3.416,19,128.29,37.56
contig_510,6615,6.615,36,243.07,36.75
contig_1007,9224,9.224,50,337.6,36.6
contig_199,13182,13.182,71,479.39,36.37
contig_678,67559,67.559,361,2437.48,36.08
contig_350,6551,6.551,35,236.32,36.07
contig_1082,26822,26.822,143,965.54,36.0
contig_1199,10880,10.88,58,391.62,35.99
contig_417,18964,18.964,101,681.95,35.96
contig_146,52470,52.47,279,1883.81,35.9
contig_1198,30652,30.652,161,1087.07,35.47
contig_394,15433,15.433,81,546.91,35.44
contig_907,21013,21.013,110,742.72,35.35
contig_918,10234,10.234,53,357.86,34.97
contig_116,6185,6.185,32,216.06,34.93
contig_547,8523,8.523,44,297.09,34.86
contig_940,15327,15.327,79,533.41,34.8
contig_188,34376,34.376,177,1195.11,34.77
contig_534,69219,69.219,355,2396.96,34.63
contig_598,44908,44.908,229,1546.21,34.43
contig_1154,8641,8.641,44,297.09,34.38
contig_1176,39508,39.508,201,1357.15,34.35
contig_1209,9133,9.133,46,310.59,34.01
contig_429,21468,21.468,105,708.96,33.02
contig_672,7771,7.771,38,256.58,33.02
contig_574,12677,12.677,62,418.62,33.02
contig_45,16679,16.679,81,546.91,32.79
contig_7,10777,10.777,52,351.1,32.58
contig_1047,17211,17.211,83,560.42,32.56
contig_828,4998,4.998,24,162.05,32.42
contig_445,69867,69.867,333,2248.42,32.18
contig_1113,14588,14.588,69,465.89,31.94
contig_480,10374,10.374,49,330.85,31.89
contig_1162,25404,25.404,120,810.24,31.89
contig_1213,45006,45.006,212,1431.43,31.81
contig_68,17071,17.071,80,540.16,31.64
contig_836,5775,5.775,27,182.3,31.57
contig_346,9268,9.268,43,290.34,31.33
contig_506,4755,4.755,22,148.54,31.24
contig_151,28029,28.029,129,871.01,31.08
contig_172,25592,25.592,117,789.99,30.87
contig_733,77975,77.975,356,2403.72,30.83
contig_130,16665,16.665,76,513.15,30.79
contig_316,15833,15.833,72,486.14,30.7
contig_424,7938,7.938,36,243.07,30.62
contig_1074,60272,60.272,270,1823.04,30.25
contig_571,4960,4.96,22,148.54,29.95
contig_830,21350,21.35,94,634.69,29.73
contig_772,7269,7.269,32,216.06,29.72
contig_528,5921,5.921,26,175.55,29.65
contig_425,12331,12.331,54,364.61,29.57
contig_478,7572,7.572,33,222.82,29.43
contig_26,8721,8.721,38,256.58,29.42
contig_77,14022,14.022,61,411.87,29.37
contig_277,14272,14.272,62,418.62,29.33
contig_961,66651,66.651,289,1951.33,29.28
contig_441,5552,5.552,24,162.05,29.19
contig_201,16263,16.263,70,472.64,29.06
contig_1072,20732,20.732,89,600.93,28.99
contig_434,13518,13.518,58,391.62,28.97
contig_1195,82400,82.4,353,2383.46,28.93
contig_719,5846,5.846,25,168.8,28.87
contig_218,7962,7.962,34,229.57,28.83
contig_348,30727,30.727,129,871.01,28.35
contig_283,5533,5.533,23,155.3,28.07
contig_527,4817,4.817,20,135.04,28.03
contig_1116,86500,86.5,358,2417.22,27.94
contig_943,37013,37.013,153,1033.06,27.91
contig_1107,8499,8.499,35,236.32,27.81
contig_911,29729,29.729,121,816.99,27.48
contig_1093,10076,10.076,41,276.83,27.47
contig_1009,4681,4.681,19,128.29,27.41
contig_604,6415,6.415,26,175.55,27.37
contig_561,4959,4.959,20,135.04,27.23
contig_576,10179,10.179,41,276.83,27.2
contig_498,5467,5.467,22,148.54,27.17
contig_947,16212,16.212,65,438.88,27.07
contig_540,10984,10.984,44,297.09,27.05
contig_76,16777,16.777,67,452.38,26.96
contig_471,14038,14.038,56,378.11,26.93
contig_128,17411,17.411,69,465.89,26.76
contig_80,8370,8.37,33,222.82,26.62
contig_1036,25765,25.765,101,681.95,26.47
contig_433,26292,26.292,103,695.46,26.45
contig_368,9207,9.207,36,243.07,26.4
contig_1122,16702,16.702,65,438.88,26.28
contig_42,27275,27.275,106,715.71,26.24
contig_493,9087,9.087,35,236.32,26.01
contig_117,16690,16.69,64,432.13,25.89
contig_1006,16991,16.991,65,438.88,25.83
contig_61,14433,14.433,55,371.36,25.73
contig_106,17431,17.431,66,445.63,25.57
contig_90,8486,8.486,32,216.06,25.46
contig_1055,33755,33.755,126,850.75,25.2
contig_1061,24671,24.671,92,621.19,25.18
contig_249,46559,46.559,173,1168.1,25.09
contig_631,16002,16.002,59,398.37,24.89
contig_121,4347,4.347,16,108.03,24.85
contig_75,33977,33.977,125,844.0,24.84
contig_841,5190,5.19,19,128.29,24.72
contig_899,16682,16.682,61,411.87,24.69
contig_358,5478,5.478,20,135.04,24.65
contig_730,5215,5.215,19,128.29,24.6
contig_143,5766,5.766,21,141.79,24.59
contig_536,29100,29.1,106,715.71,24.59
contig_905,3855,3.855,14,94.53,24.52
contig_343,4972,4.972,18,121.54,24.44
contig_1186,11365,11.365,41,276.83,24.36
contig_1110,31157,31.157,112,756.23,24.27
contig_376,5028,5.028,18,121.54,24.17
contig_551,66750,66.75,238,1606.98,24.07
contig_250,5331,5.331,19,128.29,24.06
contig_468,9826,9.826,35,236.32,24.05
contig_700,33124,33.124,118,796.74,24.05
contig_578,11265,11.265,40,270.08,23.98
contig_903,24509,24.509,87,587.43,23.97
contig_736,3387,3.387,12,81.02,23.92
contig_739,6228,6.228,22,148.54,23.85
contig_880,7942,7.942,28,189.06,23.8
contig_144,12501,12.501,44,297.09,23.77
contig_1067,32202,32.202,113,762.98,23.69
contig_1038,8302,8.302,29,195.81,23.59
contig_449,7165,7.165,25,168.8,23.56
contig_25,20662,20.662,72,486.14,23.53
contig_24,12413,12.413,43,290.34,23.39
contig_55,15911,15.911,55,371.36,23.34
contig_155,9845,9.845,34,229.57,23.32
contig_174,12184,12.184,42,283.58,23.28
contig_52,32471,32.471,111,749.47,23.08
contig_565,3808,3.808,13,87.78,23.05
contig_1059,55425,55.425,189,1276.13,23.02
contig_73,19372,19.372,66,445.63,23.0
contig_890,5331,5.331,18,121.54,22.8
contig_285,5929,5.929,20,135.04,22.78
contig_20,62037,62.037,209,1411.17,22.75
contig_354,5344,5.344,18,121.54,22.74
contig_56,12202,12.202,41,276.83,22.69
contig_1139,6883,6.883,23,155.3,22.56
contig_499,6590,6.59,22,148.54,22.54
contig_287,7532,7.532,25,168.8,22.41
contig_122,7592,7.592,25,168.8,22.23
contig_549,13382,13.382,44,297.09,22.2
contig_1118,8889,8.889,29,195.81,22.03
contig_716,5832,5.832,19,128.29,22.0
contig_515,5245,5.245,17,114.78,21.88
contig_420,10503,10.503,34,229.57,21.86
contig_310,3407,3.407,11,74.27,21.8
contig_960,5898,5.898,19,128.29,21.75
contig_590,9337,9.337,30,202.56,21.69
contig_593,45917,45.917,147,992.55,21.62
contig_511,3751,3.751,12,81.02,21.6
contig_123,5947,5.947,19,128.29,21.57
contig_666,40480,40.48,129,871.01,21.52
contig_81,9126,9.126,29,195.81,21.46
contig_99,11705,11.705,37,249.82,21.34
contig_827,5386,5.386,17,114.78,21.31
contig_1175,62082,62.082,195,1316.64,21.21
contig_674,9873,9.873,31,209.31,21.2
contig_108,11501,11.501,36,243.07,21.13
contig_649,7350,7.35,23,155.3,21.13
contig_364,56328,56.328,176,1188.35,21.1
contig_858,10590,10.59,33,222.82,21.04
contig_247,15734,15.734,49,330.85,21.03
contig_329,7089,7.089,22,148.54,20.95
contig_842,6446,6.446,20,135.04,20.95
contig_667,7738,7.738,24,162.05,20.94
contig_315,4860,4.86,15,101.28,20.84
contig_1051,11338,11.338,35,236.32,20.84
contig_262,17250,17.25,53,357.86,20.75
contig_380,10769,10.769,33,222.82,20.69
contig_196,5548,5.548,17,114.78,20.69
contig_28,11795,11.795,36,243.07,20.61
contig_997,7540,7.54,23,155.3,20.6
contig_161,15867,15.867,48,324.1,20.43
contig_88,17909,17.909,54,364.61,20.36
contig_291,8959,8.959,27,182.3,20.35
contig_968,6648,6.648,20,135.04,20.31
contig_950,7341,7.341,22,148.54,20.23
contig_373,13380,13.38,40,270.08,20.19
contig_293,15760,15.76,47,317.34,20.14
contig_156,11744,11.744,35,236.32,20.12
contig_908,17115,17.115,51,344.35,20.12
contig_728,3693,3.693,11,74.27,20.11
contig_142,13812,13.812,41,276.83,20.04
contig_337,7094,7.094,21,141.79,19.99
contig_30,9461,9.461,28,189.06,19.98
contig_295,3379,3.379,10,67.52,19.98
contig_523,17304,17.304,51,344.35,19.9
contig_369,9307,9.307,27,182.3,19.59
contig_72,24820,24.82,72,486.14,19.59
contig_550,5527,5.527,16,108.03,19.55
contig_920,8002,8.002,23,155.3,19.41
contig_891,8027,8.027,23,155.3,19.35
contig_159,5588,5.588,16,108.03,19.33
contig_245,15111,15.111,43,290.34,19.21
contig_885,22522,22.522,64,432.13,19.19
contig_832,11265,11.265,32,216.06,19.18
contig_135,9524,9.524,27,182.3,19.14
contig_244,14131,14.131,40,270.08,19.11
contig_360,5329,5.329,15,101.28,19.01
contig_83,8878,8.878,25,168.8,19.01
contig_126,5000,5.0,14,94.53,18.91
contig_969,9649,9.649,27,182.3,18.89
contig_34,8966,8.966,25,168.8,18.83
contig_1160,15800,15.8,44,297.09,18.8
contig_504,5413,5.413,15,101.28,18.71
contig_298,7237,7.237,20,135.04,18.66
contig_204,20443,20.443,56,378.11,18.5
contig_762,12058,12.058,33,222.82,18.48
contig_610,8438,8.438,23,155.3,18.4
contig_655,14317,14.317,39,263.33,18.39
contig_563,10339,10.339,28,189.06,18.29
contig_225,8124,8.124,22,148.54,18.28
contig_664,5171,5.171,14,94.53,18.28
contig_882,7020,7.02,19,128.29,18.27
contig_1045,3700,3.7,10,67.52,18.25
contig_727,8880,8.88,24,162.05,18.25
contig_1000,3715,3.715,10,67.52,18.17
contig_405,4852,4.852,13,87.78,18.09
contig_84,14968,14.968,40,270.08,18.04
contig_366,17247,17.247,46,310.59,18.01
contig_426,33201,33.201,88,594.18,17.9
contig_770,4903,4.903,13,87.78,17.9
contig_1143,83407,83.407,221,1492.19,17.89
contig_215,11771,11.771,31,209.31,17.78
contig_934,9125,9.125,24,162.05,17.76
contig_902,5333,5.333,14,94.53,17.73
contig_328,10662,10.662,28,189.06,17.73
contig_375,21748,21.748,57,384.86,17.7
contig_790,20998,20.998,55,371.36,17.69
contig_1095,43267,43.267,113,762.98,17.63
contig_187,11912,11.912,31,209.31,17.57
contig_817,7724,7.724,20,135.04,17.48
contig_186,10543,10.543,27,182.3,17.29
contig_6,5469,5.469,14,94.53,17.28
contig_475,17984,17.984,46,310.59,17.27
contig_589,15273,15.273,39,263.33,17.24
contig_33,21990,21.99,56,378.11,17.19
contig_769,11023,11.023,28,189.06,17.15
contig_35,10655,10.655,27,182.3,17.11
contig_640,7141,7.141,18,121.54,17.02
contig_784,7546,7.546,19,128.29,17.0
contig_538,5167,5.167,13,87.78,16.99
contig_879,5175,5.175,13,87.78,16.96
contig_712,23100,23.1,58,391.62,16.95
contig_294,6789,6.789,17,114.78,16.91
contig_844,5601,5.601,14,94.53,16.88
contig_330,6806,6.806,17,114.78,16.87
contig_670,30829,30.829,77,519.9,16.86
contig_853,3610,3.61,9,60.77,16.83
contig_750,3618,3.618,9,60.77,16.8
contig_93,7665,7.665,19,128.29,16.74
contig_109,7271,7.271,18,121.54,16.72
contig_1086,27940,27.94,69,465.89,16.67
contig_92,22337,22.337,55,371.36,16.63
contig_270,10162,10.162,25,168.8,16.61
contig_729,9781,9.781,24,162.05,16.57
contig_149,8968,8.968,22,148.54,16.56
contig_988,8968,8.968,22,148.54,16.56
contig_543,13061,13.061,32,216.06,16.54
contig_401,5719,5.719,14,94.53,16.53
contig_1188,15126,15.126,37,249.82,16.52
contig_609,3270,3.27,8,54.02,16.52
contig_466,10218,10.218,25,168.8,16.52
contig_351,13916,13.916,34,229.57,16.5
contig_216,4104,4.104,10,67.52,16.45
contig_345,12331,12.331,30,202.56,16.43
contig_509,3706,3.706,9,60.77,16.4
contig_238,9475,9.475,23,155.3,16.39
contig_1010,19789,19.789,48,324.1,16.38
contig_22,16911,16.911,41,276.83,16.37
contig_103,17352,17.352,42,283.58,16.34
contig_954,10752,10.752,26,175.55,16.33
contig_2,9510,9.51,23,155.3,16.33
contig_1108,19040,19.04,46,310.59,16.31
contig_97,11597,11.597,28,189.06,16.3
contig_906,7484,7.484,18,121.54,16.24
contig_767,8327,8.327,20,135.04,16.22
contig_755,25543,25.543,61,411.87,16.12
contig_182,10074,10.074,24,162.05,16.09
contig_274,9230,9.23,22,148.54,16.09
contig_925,3783,3.783,9,60.77,16.06
contig_548,8461,8.461,20,135.04,15.96
contig_457,8053,8.053,19,128.29,15.93
contig_11,6363,6.363,15,101.28,15.92
contig_659,6405,6.405,15,101.28,15.81
contig_228,15821,15.821,37,249.82,15.79
contig_963,5151,5.151,12,81.02,15.73
contig_555,5161,5.161,12,81.02,15.7
contig_252,6027,6.027,14,94.53,15.68
contig_793,8654,8.654,20,135.04,15.6
contig_268,9121,9.121,21,141.79,15.55
contig_881,12634,12.634,29,195.81,15.5
contig_518,13957,13.957,32,216.06,15.48
contig_1076,7470,7.47,17,114.78,15.37
contig_406,3954,3.954,9,60.77,15.37
contig_566,7032,7.032,16,108.03,15.36
contig_544,7078,7.078,16,108.03,15.26
contig_579,5312,5.312,12,81.02,15.25
contig_110,16832,16.832,38,256.58,15.24
contig_412,5776,5.776,13,87.78,15.2
contig_162,23117,23.117,52,351.1,15.19
contig_177,20441,20.441,46,310.59,15.19
contig_12,15133,15.133,34,229.57,15.17
contig_956,7580,7.58,17,114.78,15.14
contig_230,8479,8.479,19,128.29,15.13
contig_612,4911,4.911,11,74.27,15.12
contig_333,14785,14.785,33,222.82,15.07
contig_448,13899,13.899,31,209.31,15.06
contig_1106,7621,7.621,17,114.78,15.06
contig_914,9870,9.87,22,148.54,15.05
contig_157,9433,9.433,21,141.79,15.03
contig_266,6296,6.296,14,94.53,15.01
contig_967,3603,3.603,8,54.02,14.99
contig_391,18475,18.475,41,276.83,14.98
contig_690,5415,5.415,12,81.02,14.96
contig_1023,6798,6.798,15,101.28,14.9
contig_47,24034,24.034,53,357.86,14.89
contig_686,7257,7.257,16,108.03,14.89
contig_797,4992,4.992,11,74.27,14.88
contig_694,13624,13.624,30,202.56,14.87
contig_638,3632,3.632,8,54.02,14.87
contig_477,6360,6.36,14,94.53,14.86
contig_570,5466,5.466,12,81.02,14.82
contig_160,18703,18.703,41,276.83,14.8
contig_253,9581,9.581,21,141.79,14.8
contig_996,32431,32.431,71,479.39,14.78
contig_883,31198,31.198,68,459.14,14.72
contig_211,31660,31.66,69,465.89,14.72
contig_408,10106,10.106,22,148.54,14.7
contig_9,24364,24.364,53,357.86,14.69
contig_725,10583,10.583,23,155.3,14.67
contig_203,8753,8.753,19,128.29,14.66
contig_1103,18975,18.975,41,276.83,14.59
contig_869,5555,5.555,12,81.02,14.59
contig_939,3702,3.702,8,54.02,14.59
contig_811,18094,18.094,39,263.33,14.55
contig_335,7903,7.903,17,114.78,14.52
contig_95,7916,7.916,17,114.78,14.5
contig_955,3734,3.734,8,54.02,14.47
contig_256,3737,3.737,8,54.02,14.45
contig_1127,13084,13.084,28,189.06,14.45
contig_353,13100,13.1,28,189.06,14.43
contig_805,6560,6.56,14,94.53,14.41
contig_221,12224,12.224,26,175.55,14.36
contig_1146,9925,9.925,21,141.79,14.29
contig_257,6620,6.62,14,94.53,14.28
contig_347,7096,7.096,15,101.28,14.27
contig_588,7122,7.122,15,101.28,14.22
contig_702,10041,10.041,21,141.79,14.12
contig_580,7662,7.662,16,108.03,14.1
contig_70,4789,4.789,10,67.52,14.1
contig_952,15345,15.345,32,216.06,14.08
contig_872,4803,4.803,10,67.52,14.06
contig_663,4826,4.826,10,67.52,13.99
contig_71,6296,6.296,13,87.78,13.94
contig_972,9204,9.204,19,128.29,13.94
contig_19,16492,16.492,34,229.57,13.92
contig_120,6800,6.8,14,94.53,13.9
contig_450,12146,12.146,25,168.8,13.9
contig_826,5348,5.348,11,74.27,13.89
contig_137,6813,6.813,14,94.53,13.87
contig_526,8289,8.289,17,114.78,13.85
contig_777,24433,24.433,50,337.6,13.82
contig_868,25904,25.904,53,357.86,13.81
contig_794,4894,4.894,10,67.52,13.8
contig_601,3918,3.918,8,54.02,13.79
contig_438,4409,4.409,9,60.77,13.78
contig_863,16195,16.195,33,222.82,13.76
contig_467,5405,5.405,11,74.27,13.74
contig_788,5404,5.404,11,74.27,13.74
contig_202,28564,28.564,58,391.62,13.71
contig_191,9417,9.417,19,128.29,13.62
contig_1150,25358,25.358,51,344.35,13.58
contig_586,5968,5.968,12,81.02,13.58
contig_269,15930,15.93,32,216.06,13.56
contig_485,15434,15.434,31,209.31,13.56
contig_977,21917,21.917,44,297.09,13.56
contig_132,10964,10.964,22,148.54,13.55
contig_46,7977,7.977,16,108.03,13.54
contig_658,5499,5.499,11,74.27,13.51
contig_1136,17534,17.534,35,236.32,13.48
contig_775,7522,7.522,15,101.28,13.46
contig_1132,19063,19.063,38,256.58,13.46
contig_839,8537,8.537,17,114.78,13.45
contig_507,8041,8.041,16,108.03,13.44
contig_513,8550,8.55,17,114.78,13.43
contig_643,13592,13.592,27,182.3,13.41
contig_723,5541,5.541,11,74.27,13.4
contig_276,11089,11.089,22,148.54,13.4
contig_573,7079,7.079,14,94.53,13.35
contig_134,21283,21.283,42,283.58,13.32
contig_553,4596,4.596,9,60.77,13.22
contig_709,8692,8.692,17,114.78,13.21
contig_178,5627,5.627,11,74.27,13.2
contig_759,15882,15.882,31,209.31,13.18
contig_792,4101,4.101,8,54.02,13.17
contig_237,5647,5.647,11,74.27,13.15
contig_685,5654,5.654,11,74.27,13.14
contig_279,6700,6.7,13,87.78,13.1
contig_255,5160,5.16,10,67.52,13.09
contig_904,22245,22.245,43,290.34,13.05
contig_1049,3106,3.106,6,40.51,13.04
contig_15,22811,22.811,44,297.09,13.02
contig_567,11408,11.408,22,148.54,13.02
contig_705,8299,8.299,16,108.03,13.02
contig_1052,7794,7.794,15,101.28,12.99
contig_1043,21316,21.316,41,276.83,12.99
contig_254,13002,13.002,25,168.8,12.98
contig_1022,43195,43.195,83,560.42,12.97
contig_627,5220,5.22,10,67.52,12.93
contig_632,9414,9.414,18,121.54,12.91
contig_584,5238,5.238,10,67.52,12.89
contig_605,11522,11.522,22,148.54,12.89
contig_639,9439,9.439,18,121.54,12.88
contig_181,4720,4.72,9,60.77,12.87
contig_533,5255,5.255,10,67.52,12.85
contig_581,41555,41.555,79,533.41,12.84
contig_113,7904,7.904,15,101.28,12.81
contig_937,6331,6.331,12,81.02,12.8
contig_374,5802,5.802,11,74.27,12.8
contig_198,8975,8.975,17,114.78,12.79
contig_140,9022,9.022,17,114.78,12.72
contig_783,5313,5.313,10,67.52,12.71
contig_415,18103,18.103,34,229.57,12.68
contig_619,7463,7.463,14,94.53,12.67
contig_119,10128,10.128,19,128.29,12.67
contig_691,14388,14.388,27,182.3,12.67
contig_208,10667,10.667,20,135.04,12.66
contig_766,8534,8.534,16,108.03,12.66
contig_1039,3740,3.74,7,47.26,12.64
contig_693,5350,5.35,10,67.52,12.62
contig_537,5355,5.355,10,67.52,12.61
contig_264,4289,4.289,8,54.02,12.59
contig_971,10745,10.745,20,135.04,12.57
contig_58,5918,5.918,11,74.27,12.55
contig_490,6998,6.998,13,87.78,12.54
contig_1144,21113,21.113,39,263.33,12.47
contig_363,12998,12.998,24,162.05,12.47
contig_948,5963,5.963,11,74.27,12.46
contig_414,7590,7.59,14,94.53,12.45
contig_65,18478,18.478,34,229.57,12.42
contig_1164,13055,13.055,24,162.05,12.41
contig_384,7078,7.078,13,87.78,12.4
contig_721,4908,4.908,9,60.77,12.38
contig_800,13156,13.156,24,162.05,12.32
contig_889,4964,4.964,9,60.77,12.24
contig_50,13851,13.851,25,168.8,12.19
contig_737,8880,8.88,16,108.03,12.17
contig_535,13393,13.393,24,162.05,12.1
contig_726,22889,22.889,41,276.83,12.09
contig_909,7267,7.267,13,87.78,12.08
contig_815,8943,8.943,16,108.03,12.08
contig_1157,32410,32.41,58,391.62,12.08
contig_452,7828,7.828,14,94.53,12.08
contig_60,16221,16.221,29,195.81,12.07
contig_94,25747,25.747,46,310.59,12.06
contig_965,13456,13.456,24,162.05,12.04
contig_4,5069,5.069,9,60.77,11.99
contig_313,16918,16.918,30,202.56,11.97
contig_227,7336,7.336,13,87.78,11.97
contig_67,18628,18.628,33,222.82,11.96
contig_57,5673,5.673,10,67.52,11.9
