taxonomy_id	count
0	1868378981
1	0
10239	1123905
2559587	1187
2732396	8093
2732407	30
2842243	24159
2842247	35236
2842319	450039
2843039	97095
2846214	0
2786672	17618664
2852788	5668
2846212	0
2786534	10354304
2846211	0
2786397	999827
2846213	0
2786623	225106
2842712	0
2844785	0
2786414	3068825
2842922	0
2845714	0
2786392	3066232
2842731	327
2844830	0
2786573	1381661
2844831	0
2786574	929226
2842947	42
2845782	0
2786454	1759733
2845781	0
2786398	535020
3152865	1238
3433078	0
2843862	0
2786562	1732376
3433077	0
2843861	0
2786559	15594
2842844	8
2845561	0
2786535	584344
2845562	0
2786705	29770
2842767	0
2845020	0
2786722	595588
3152864	515
3433053	0
2845851	0
2786622	425226
3433051	0
2845849	0
2786452	117504
3433052	0
2845850	0
2786471	5186
3152796	0
3431070	0
2845662	0
2786455	493688
3431073	0
2845060	0
2786613	26216
2843157	7
2846692	0
2786470	365185
2846694	0
2786723	7135
2846693	0
2786688	4413
2846695	0
2786122	3139
2842779	0
2845032	0
2786557	363485
2843120	1850
2846615	0
2786684	279992
2846617	0
2786152	20031
2846616	0
2786053	17777
2846614	0
2786512	12620
2846619	0
2786282	9305
2846618	0
2786352	2285
2842943	0
2845773	0
2786475	314057
2843067	0
2846423	0
2786683	314056
2842907	29
2845685	0
2786399	192616
2845686	0
2786403	595
2842606	0
2843951	0
2786444	180143
2842633	48
2844064	0
2786431	165484
2844063	0
2786388	9622
2842664	3197
329853	0
12018	137619
329852	0
12022	19831
2844113	0
2785989	10774
2842790	157
2843657	0
2785996	160038
2845046	0
2786627	6096
2842960	1523
2845847	0
2786445	142636
2845848	0
2786567	19045
3152768	1082
3430433	0
2843887	0
2786579	63228
3430437	0
2843890	0
2786005	34229
3430432	0
2843886	0
2786578	27523
3430442	0
2843891	0
2786815	10202
3430435	0
2843889	0
2786633	6916
3430431	0
2843885	0
2786480	6248
3430434	0
2843888	0
2786580	1886
2842838	104
2845551	0
2786232	61426
3430547	0
2843832	0
2786098	35172
2845549	0
2786059	28387
2845550	0
2786199	20116
2843086	0
2846441	0
2786446	141203
2842810	0
2845117	0
2786433	132610
2842395	0
2843829	0
2786408	126214
2842589	0
2843924	0
2786517	123835
2843035	0
2846196	0
2786472	120136
2842846	0
2845564	0
2786416	103318
2842765	0
2845019	0
2786488	94097
2843146	13
2843643	0
2786656	62103
2846675	0
2786709	22482
3152753	2736
3430236	0
2846174	0
2786654	15522
3430237	0
2845870	0
2786498	11171
3430270	0
2843892	0
2786054	9343
3430246	0
2844008	0
2786371	9000
3430255	0
2845693	0
2786581	8959
3430244	0
2844006	0
2786244	6841
3430230	0
2844001	0
2786109	4602
3430247	0
2844009	0
2786781	4238
3430231	0
2844002	0
2786068	3574
3430232	0
2844004	0
2786210	2620
3430248	0
2844010	0
2786821	2550
3430256	0
2844310	0
2786415	1671
3430233	0
2844005	0
2786211	1594
2842592	243
2843933	0
2786668	40220
2843931	0
2786378	19889
2843932	0
2786432	11461
2843930	0
2786308	5577
2843929	0
2786290	1748
2843928	0
2786240	659
3152727	243
3429139	0
2843863	0
2786571	49900
3429138	0
2843860	0
2786515	24200
2842925	0
2845715	0
2786625	74312
2843049	0
2846233	0
2786558	69334
2842864	0
2845584	0
2786504	69267
2842872	4751
2845612	0
2786665	24469
3430887	0
2845664	0
2786608	14485
2845614	0
2786428	13829
3430889	0
2844653	0
2786506	7104
2845613	0
2786697	1458
2842555	0
2843851	0
2786686	61051
2842557	0
2843857	0
2786673	54277
2843029	0
2846176	0
2786516	53825
2843087	0
2846442	0
2786521	53041
3152802	0
3431189	0
2846218	0
2786616	52026
2842601	0
2843944	0
2786630	50021
2842968	17163
2845866	0
2786072	9457
2845862	0
2786144	9234
2845865	0
2786514	6732
2845864	0
2786771	5353
2845863	0
2786808	1127
2842375	25
2843689	0
2786768	19909
2843688	0
2786063	14450
3426372	0
2845569	0
2786296	7327
2843693	0
2786302	3985
2843690	0
2786215	1117
2842938	0
2845755	0
2786380	46209
2842585	137
2843921	0
